Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Jonathon Long,1B,ChC,0.05,0.0,80.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Turner,1B,FA,0.05,0.0,97.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Rizzo,1B,FA,0.05,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warming Bernabel,1B,Wsh,0.04,0.0,79.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Toglia,1B,Cin,0.04,0.0,17.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Sogard,1B,Bos,0.03,0.0,32.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Foscue,2B,Tex,0.03,0.0,33.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Toro,1B,KC,0.03,0.0,80.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liover Peguero,SS,Phi,0.03,0.0,36.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre' Morgan,1B,TB,0.03,0.0,27.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Mervis,1B,Wsh,0.03,0.0,26.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Wisdom,1B,Sea,0.03,-1.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiman Choi,1B,NYM,0.03,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaine Crim,1B,Col,0.02,0.0,83.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Ward,LF,LAD,0.02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enmanuel Valdez,1B,Pit,0.02,0.0,24.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Meneses,1B,Oak,0.02,0.0,21.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Drury,DH,KC,0.02,0.0,15.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohandy Morales,1B,Wsh,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keston Hiura,1B,LAD,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. Davis,3B,FA,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Burke,1B,Mil,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Dalbec,1B,FA,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Solano,1B,FA,0.02,0.0,98.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Gallo,1B,FA,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Shenton,3B,FA,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Batten,1B,Atl,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Lipcius,1B,ChW,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renato Nunez,1B,FA,0.02,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Noda,1B,Bal,0.01,0.0,17.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Flores,1B,Pit,0.01,0.0,23.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Tirotta,3B,Tor,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Chavis,1B,Cin,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bligh Madris,1B,StL,0.01,0.0,42.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Elko,1B,ChW,0.01,0.0,25.0,OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Mancini,1B,LAA,0.01,0.0,28.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Seymour,1B,FA,0.01,0.0,23.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carter Kieboom,DH,Cle,0.01,0.0,20.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Davidson,1B,TB,0.01,0.0,17.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Bericoto,1B,SF,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niko Kavadas,1B,LAA,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Valencia,1B,Det,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romeo Sanabria,1B,SD,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Melendez,1B,Ari,0.01,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Caballero,RF,NYY,26.19,18.0,175.0,ACTIVE,1.0,8.0,6.0,8.0,0.20634921,0.0,0.0,0.0,0.0,0.0
Andres Gimenez,2B,Tor,24.48,46.0,247.0,ACTIVE,3.0,11.0,6.0,3.0,0.29230769,0.0,0.0,0.0,0.0,0.0
Max Muncy,3B,Oak,21.67,25.0,171.0,ACTIVE,2.0,5.0,13.0,2.0,0.28787879,0.0,0.0,0.0,0.0,0.0
Jonathan India,2B,KC,17.76,27.0,260.0,ACTIVE,2.0,8.0,8.0,0.0,0.17391304,0.0,0.0,0.0,0.0,0.0
Jorge Polanco,DH,NYM,16.43,15.0,289.0,DAY_TO_DAY,1.0,2.0,3.0,0.0,0.17857143,0.0,0.0,0.0,0.0,0.0
Matt McLain,2B,Cin,15.54,26.0,233.0,ACTIVE,0.0,3.0,8.0,3.0,0.19402985,0.0,0.0,0.0,0.0,0.0
Willi Castro,RF,Col,9.11,10.0,196.0,DAY_TO_DAY,1.0,8.0,8.0,1.0,0.21428571,0.0,0.0,0.0,0.0,0.0
Cole Young,2B,Sea,8.79,35.0,204.0,ACTIVE,2.0,9.0,13.0,0.0,0.2173913,0.0,0.0,0.0,0.0,0.0
Jeff McNeil,2B,Oak,7.64,24.0,262.0,ACTIVE,0.0,3.0,5.0,1.0,0.27586207,0.0,0.0,0.0,0.0,0.0
Javier Sanoja,LF,Mia,6.48,17.0,161.0,ACTIVE,0.0,7.0,1.0,2.0,0.35714286,0.0,0.0,0.0,0.0,0.0
Jake Cronenworth,2B,SD,6.19,19.0,266.0,ACTIVE,1.0,3.0,9.0,0.0,0.14754098,0.0,0.0,0.0,0.0,0.0
Nolan Gorman,3B,StL,5.45,17.0,184.0,ACTIVE,2.0,9.0,6.0,0.0,0.20754717,0.0,0.0,0.0,0.0,0.0
